name,gmap_id,latitude,longitude,stars,review_count,hours_Monday,hours_Tuesday,hours_Wednesday,hours_Thursday,hours_Friday,hours_Saturday,hours_Sunday,city,ZIP Code
Emiliano's Pizza,0x89c6b0321e8c74e5:0xe9c00b8c29a40b8d,40.142367,-75.11343169999999,3.9,148,10:45AM–9:45PM,10:45AM–9:45PM,10:45AM–9:45PM,10:45AM–9:45PM,10:45AM–10:45PM,10:45AM–10:45PM,10:45AM–9:45PM,Willow Grove,19090
Romeo's Pizza,0x89c9887234abef0b:0x9eb2476e0140263d,39.8306185,-77.9008806,4.5,238,Closed,11:00–20:00,11:00–20:00,11:00–20:00,11:00–21:00,11:00–21:00,Closed,Mercersburg,17236
Cosmos,0x89c1512835df9c89:0x5b444cf0318a405b,40.187939,-74.82815579999999,4.5,338,Closed,Closed,00:00–21:00,00:00–22:00,00:00–22:00,00:00–22:00,00:00–20:00,Fairless Hills,19030
Big Woody's,0x89c43983c34d7729:0x1a01050f2cae1b0c,40.5942849,-75.4978165,3.3,830,11:00–02:00,11:00–02:00,11:00–02:00,11:00–02:00,11:00–02:00,11:00–02:00,11:00–02:00,Allentown,18104
Perkasie Pizza & Pasta,0x89c41fab2cfafeef:0x3ce8cb7bfe807f62,40.374485,-75.294874,4.1,238,10:00–21:00,10:00–21:00,10:00–21:00,10:00–21:00,10:00–22:00,10:00–22:00,11:00–21:00,Perkasie,18944
"DiNapoli's Italian Market, Restaurant and Catering",0x89c3ff49f198e50f:0xc22f38808bcd87b,40.3651455,-74.9513475,4.2,173,Closed,10:30AM–7PM,10:30AM–7PM,10:30AM–7PM,10:30AM–8PM,10:30AM–8PM,10:30AM–6PM,New Hope,18938
Delicioso Pizza & Subs,0x89c43bd5625f73ed:0xe6513a8d8a0992dd,40.599962999999995,-75.479129,4.6,468,11:00–22:00,11:00–22:00,11:00–22:00,11:00–22:00,11:00–22:00,11:00–22:00,Closed,Allentown,18101
Yum Yum's Pizza,0x8832800dc07a8299:0x1acc9b1c1aa12bc5,42.1057357,-80.0773483,3.8,248,10:00–21:00,10:00–21:00,10:00–21:00,10:00–21:00,10:00–23:00,00:00–23:00,00:00–21:00,Erie,16508
Irwin's,0x89c6c7d8114b71e3:0xa04d83e2b453ed38,39.925543,-75.1603019,4.6,115,Closed,Closed,17:00–23:00,17:00–23:00,17:00–23:00,17:00–23:00,17:00–23:00,Philadelphia,19148
A&M Pizza Restaurant,0x89c60376741334e9:0xdfb258e2d7a97af4,40.3512048,-76.3801247,4.1,568,10:30AM–10PM,10:30AM–10PM,10:30AM–10PM,10:30AM–10PM,10:30AM–11PM,10:30AM–11PM,11:30AM–10PM,Lebanon,17042
Caruso's of Schaefferstown,0x89c61acc2eb64293:0x210debf5a56319d,40.298398999999996,-76.30257449999999,4.5,178,Closed,11:00–20:00,11:00–20:00,11:00–20:00,11:00–21:00,11:00–21:00,11:30AM–8PM,Schaefferstown,17088
Melt,0x89c43c5d6d9e0ab7:0xb3c4ed2327f4fa9b,40.559486,-75.41004199999999,4.5,688,11AM–9:30PM,11AM–9:30PM,11AM–9:30PM,11AM–9:30PM,11:00–22:00,11:00–22:00,11AM–8:30PM,Center Valley,18034
Joe’s Pizza,0x89c433d6356d12bb:0x7f7f86b2ee790540,40.5506848,-75.58910019999999,4.4,268,Closed,11:00–20:00,11:00–20:00,11:00–20:00,11:00–20:00,11:00–20:00,11:00–20:00,Trexlertown,18087
La familia Pizza & Grill,0x89c6b69c26996337:0x7d9a1643d88d864d,40.041408,-75.064968,3.8,88,11:00–22:00,11:00–22:00,11:00–22:00,11:00–22:00,11:00–23:00,11:00–23:00,00:00–22:00,Philadelphia,19149
Amore Pizza & Restaurant,0x89c6f140ede4956f:0x121a4cae084d1031,39.956752,-75.6016226,4.2,438,11AM–9:30PM,11AM–9:30PM,11AM–9:30PM,11AM–9:30PM,11:00–23:00,11:00–23:00,11:00–22:00,West Chester,19382
Mexi-talian grill,0x89c6c916cdbe3369:0x9c828511deaa0435,39.941808099999996,-75.1495762,4.8,77,11:00–22:00,11:00–22:00,11:00–22:00,11:00–22:00,11:00–00:00,12:00–00:00,00:00–22:00,Philadelphia,19147
Hatboro Pizza Grill,0x89c6ae4d0e9055f5:0xe799469cdd3df0f6,40.180718999999996,-75.105553,4.4,248,9:30AM–10PM,9:30AM–10PM,9:30AM–10PM,9:30AM–10PM,09:00–23:00,10:00–23:00,10:30AM–9:30PM,Hatboro,19040
Arthur Ave Italian Deli,0x89c4b39e96797e61:0x69acf6ec28f603b2,41.5511731,-75.2291625,4.7,224,10:00–19:00,10:00–19:00,10:00–19:00,10:00–19:00,10:00–19:00,10:00–19:00,Closed,Honesdale,18431
Carlos Pizza,0x89c6b03acdf66f4b:0x1e00b22bb129667,40.1445017,-75.1218473,4.1,98,11:00–22:00,11:00–22:00,11:00–22:00,11:00–22:00,11AM–10:30PM,11AM–10:30PM,11:00–21:00,Willow Grove,19090
Parkwood Inn,0x8834d06342a76183:0xc1f49ff1d6034706,40.287247,-79.54773,4.4,628,11:00–20:00,Closed,Closed,11:00–20:00,11:00–20:00,00:00–20:00,00:00–19:00,Greensburg,15601
Senti Restaurant,0x8834f3b503b33d07:0xf7c73c5a6b01b765,40.463910399999996,-79.9666768,4.5,268,Closed,17:00–21:00,17:00–21:00,17:00–21:00,17:00–22:00,17:00–22:00,Closed,Pittsburgh,15201
Pasqualino's Italian Restaurant,0x8834eb65ea743c55:0x81b86fc0567c94e0,40.4826145,-79.81970609999999,4.7,614,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,00:00–21:00,Penn Hills,15235
Zuppa's Delicatessen Harmarville,0x8834936f2d0445fb:0xcf37f6b570bc3b69,40.5368056,-79.8428605,4.7,56,08:00–17:00,08:00–17:00,08:00–17:00,08:00–17:00,08:00–17:00,Closed,Closed,Pittsburgh,15238
Pizza Joe's,0x8834711f0ab34efb:0xc9c8a2cdb141cb94,40.7728129,-80.3239069,4.6,208,Closed,11:00–20:00,11:00–20:00,11:00–20:00,11:00–21:00,11:00–21:00,00:00–20:00,Beaver Falls,15010
Pizza Joe's,0x8834704c1c70bed5:0xc59137fc17deef04,40.739208,-80.315952,3.9,108,11:00–21:00,Closed,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,New Brighton,15066
Mike's Pizzeria Italian Restaurant,0x89c45f57cac38f9b:0xc929143fff27008b,40.9811815,-75.44917439999999,4.0,385,11:00–20:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–20:00,Effort,18330
Italian Delight,0x89c8b0358f9c0959:0x70dee5ef408c62e7,40.3827287,-76.663851,4.5,464,Closed,10:00–21:00,10:00–21:00,10:00–21:00,10:00–22:00,10:00–22:00,10:00–21:00,Grantville,17028
LEMONCELLO RESTAURANT PHILLY LLC,0x89c6b72f7f9a3783:0xcd07e97911415b0e,40.0258727,-75.1325798,4.7,58,10:00–20:00,10:00–20:00,10:00–20:00,10:00–20:00,10:00–20:00,10:00–20:00,10:00–20:00,Philadelphia,19120
Two Brothers Pizza,0x89c8b8eda1f62263:0x5153c9a7c5130987,40.3095238,-76.7984723,4.6,238,10AM–8:30PM,10AM–8:30PM,10AM–8:30PM,10AM–8:30PM,10AM–8:30PM,10AM–8:30PM,11AM–7:30PM,Harrisburg,17112
Capri Pizza Restaurant,0x8834bd73914cb087:0x101e66374e702544,40.627003099999996,-79.72124389999999,4.7,285,Closed,10:00–21:00,10:00–21:00,10:00–21:00,10:00–21:00,10:00–21:00,10:00–21:00,Natrona Heights,15065
Vivo Italian Kitchen,0x89c4313ad7f52547:0xce2e72d97a3adce5,40.602044,-75.561774,4.7,258,Closed,Closed,16:00–21:00,16:00–21:00,00:00–21:00,00:00–21:00,16:00–21:00,Allentown,18104
The Oven Pizza Co.,0x883489a0fb8c7041:0x4b8e376e89cea267,40.633240099999995,-80.05594479999999,4.5,316,11:30AM–9PM,11:30AM–9PM,11:30AM–9PM,11:30AM–9PM,11:30AM–10PM,11:30AM–10PM,Closed,Wexford,15090
Carluccis Pizza,0x8834887097152b97:0xe4aa01287fde153e,40.684903,-80.068241,4.2,137,11:00–21:00,11AM–9:30PM,11AM–9:30PM,11AM–9:30PM,11AM–10:30PM,11AM–10:30PM,11:00–21:00,Seven Fields,16046
Genova's Italian Restaurant & Brewery,0x89c88b8244592815:0xb6d72b188163cbff,39.9497,-76.777911,4.3,493,Closed,11:00–22:00,11:00–22:00,11:00–22:00,11:00–23:00,11:00–23:00,11:00–21:00,York,17404
Russell Preno’s Restaurant,0x89c4deb308a7cc81:0x25ebda9663205afb,41.4086935,-75.6367009,4.4,198,Closed,Closed,15:00–21:00,15:00–21:00,15:00–22:00,15:00–22:00,Closed,Scranton,18510
AlSalam Pizza,0x89c6b82fec7b7bdf:0xb0e5a40b8cc3531d,40.030454299999995,-75.1654148,3.9,195,09:00–19:00,09:00–19:00,09:00–19:00,09:00–19:00,09:00–19:00,09:00–19:00,Closed,Philadelphia,19144
Antonios Pizzeria,0x89c5b2985a847169:0xe5860bc788951919,40.863490999999996,-75.73930589999999,4.1,248,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–23:00,10:00–23:00,10:00–22:00,Jim Thorpe,18229
Francisco's on the River,0x89c3fe68ee9f1e95:0xce223adb5e0719f1,40.3136691,-74.8957825,4.6,258,Closed,15:00–20:00,15:00–20:00,15:00–20:00,15:00–20:00,15:00–20:00,15:00–20:00,Washington Crossing,18977
Ristorante Castello,0x89c6a38df4b17793:0xb7e25fb91c4b91ed,40.154877899999995,-75.2683361,4.3,238,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,3:30–10PM,Blue Bell,19422
Trattoria Totaro,0x89c6bef562f4c747:0xc87a712fc301260e,40.075108,-75.29449,4.5,206,Closed,5–8:30PM,5–8:30PM,5–8:30PM,17:00–21:00,17:00–09:00,Closed,Conshohocken,19428
Roman’s Pizza Plus,0x89c6b8e790a93f83:0x8d79886732e085bc,40.039183,-75.223424,4.2,88,Closed,11AM–10:15PM,11AM–10:15PM,11AM–10:15PM,11:00–23:00,11AM–11:15PM,12–10:15PM,Philadelphia,19128
Mario's Pizza,0x89c6b99b427d78a9:0xc3d47fae70568ded,40.0726108,-75.19434079999999,4.1,148,10:30AM–10PM,10:30AM–10PM,10:30AM–10PM,10:30AM–10PM,10:30AM–10:30PM,10:30AM–10:30PM,00:00–21:00,Philadelphia,19118
Montesini Pizza,0x89c6b42bb37897a3:0x44983f72e6555b2b,40.0295116,-75.0583838,4.4,368,11:00–22:00,11:00–22:00,11:00–22:00,11:00–22:00,11:00–23:00,11:00–23:00,11:00–22:00,Philadelphia,19135
Zeiderelli's Pizza & Subs,0x89c8c198a2411c7f:0x6baf68343a87714d,40.245899,-76.89570599999999,4.3,238,11:00–20:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–22:00,11:00–22:00,11:00–20:00,Lemoyne,17043
Aldo's Ristorante Italiano,0x89c1535a8e9ba56f:0x73cb321042bbf5b3,40.204128999999995,-74.954268,4.3,157,11AM–9:30PM,11AM–9:30PM,11AM–9:30PM,11AM–9:30PM,11AM–10:30PM,11AM–10:30PM,11AM–9:30PM,Holland,18966
Alfredo's Pizza,0x89c90c6fd38bbd03:0xe43563e9169083ea,40.048103,-77.501182,4.3,253,11:00–22:00,11:00–22:00,11:00–22:00,11:00–22:00,11AM–10:30PM,11AM–10:30PM,11:00–21:00,Shippensburg,17257
Firepit Pizzeria & Grill,0x89c6c27052aa7389:0xb0865bd70f592e9f,39.912222199999995,-75.3311111,4.0,78,,,,,,,,Springfield,19064
The Greyhound Cafe,0x89c6f2aaf9f9b4a5:0xc7f709cc4729a40e,40.0438506,-75.5297325,4.8,278,Closed,Closed,00:00–19:00,00:00–19:00,00:00–19:00,00:00–19:00,00:00–19:00,Malvern,19355
Matteo's Pizza,0x89c7b2937d221e8b:0x458d10301ed2da00,39.7481763,-75.9208519,4.1,98,Closed,11:00–21:00,11:00–21:00,11:00–21:00,11:00–22:00,11:00–22:00,11:00–21:00,Oxford,19363
Tre Fratelli,0x89c154867851509d:0x337c1a716fd87d93,40.216305299999995,-74.9280412,4.5,128,11:00–20:00,11:00–20:00,11:00–20:00,11:00–20:00,11:00–20:00,11:00–20:00,11:00–19:00,Langhorne,19047
Schianos Italian Restaurant And Pizzeria,0x89c8ccd4aa03c3b9:0x27deb5508767681b,40.53967,-76.9586303,4.4,148,10:30AM–9PM,Closed,10:30AM–9PM,10:30AM–9PM,10:30AM–9PM,10:30AM–9PM,10:30AM–9PM,Millersburg,17061
Santina's Kitchen,0x89c687b8659ac871:0x65efe1a7cd481da0,40.247068299999995,-75.6813751,4.5,276,10:00–21:00,10:00–21:00,10:00–21:00,10:00–21:00,10:00–22:00,10:00–22:00,00:00–21:00,Stowe,19464
Steve's Pizzeria,0x89c46b5d72192a03:0x706c0a6ad1a60bfd,40.6699397,-75.257159,4.3,332,Closed,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,Easton,18045
Lee's Hoagie House,0x89c14d21fcf7a141:0xddc8d1301e67dc9f,40.0965685,-74.9433998,4.1,258,10:00–19:00,10:00–19:00,10:00–19:00,10:00–19:00,10:00–19:00,10:00–19:00,10:00–19:00,Bensalem,19020
La Cena Restaurant,0x89c14d6c86bf284f:0x4cd48a08681f2f6,40.1139442,-74.9385394,4.4,407,Closed,Closed,11:00–21:00,11:00–21:00,11:00–22:00,11:00–22:00,11:00–20:00,Bensalem,19020
UVA Ristorante Italiano,0x89c6ac8111090503:0x3ebe70904e5fc944,40.2172597,-75.0111417,4.4,238,Closed,11:00–21:00,11:00–21:00,11:00–21:00,11:00–22:00,11:00–22:00,15:00–22:00,Richboro,18954
Delta Pizza & DP Lounge,0x89c7d17197054773:0xdd94075b742bc65,39.727339,-76.3268701,4.5,592,Closed,11:00–21:00,11:00–21:00,11:00–21:00,11:00–22:00,11:00–22:00,11:00–21:00,Delta,17314
Tre Scalini,0x89c6c60f6cd77ad1:0x360ab91a846d0252,39.926206799999996,-75.16752369999999,4.6,98,Closed,17:00–22:00,17:00–22:00,17:00–22:00,17:00–22:00,17:00–22:00,16:00–21:00,Philadelphia,19148
Stadium Pizza & Grill,0x89c6c60784c4b219:0x221e111d332ad46a,39.919557,-75.163906,4.2,156,11:00–22:00,11:00–22:00,11:00–22:00,11:00–22:00,11:00–23:00,11:00–23:00,00:00–22:00,Philadelphia,19148
Lo Vasco's pizza,0x89c8ed2a2bee8973:0x981e0dd577efb685,40.0637182,-76.9174759,4.6,196,Closed,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,00:00–21:00,Wellsville,17365
Ferrante's Pizza & Restaurant,0x89c8e50ab9de3ccd:0xd520b02bc2a444f2,40.1160099,-77.0372111,4.1,222,Closed,10:30AM–9PM,10:30AM–9PM,10:30AM–9PM,10:30AM–10PM,10:30AM–10PM,11:00–21:00,Dillsburg,17019
Two King's Pizzeria,0x89c5bbfb9969607d:0xa6199724b6c836be,40.828568,-75.984529,4.3,367,10:30AM–8PM,10:30AM–8PM,10:30AM–8PM,10:30AM–8PM,10:30AM–8:30PM,10:30AM–8:30PM,11:00–20:00,Tamaqua,18252
Rik-N-Nik's Pizza,0x89cb741fa41fc7a1:0x14641ddbe81929a4,40.4850578,-78.7267395,4.5,137,11AM–7:30PM,11AM–7:30PM,11AM–7:30PM,11AM–7:30PM,11AM–8:30PM,4–7:30PM,4–7:30PM,Ebensburg,15931
Roma's Delight,0x89c8803b3404ee23:0x18baf00efec892,39.8665069,-76.4677512,4.6,227,10AM–9:30PM,10AM–9:30PM,10AM–9:30PM,10AM–9:30PM,10AM–9:30PM,10AM–10:30PM,10AM–10:30PM,Brogue,17309
Lia's Pizza & Italian Restaurant,0x89cc724505d4bd1b:0x3de40ec67eb740d6,40.827292,-78.34216339999999,4.5,248,10:30AM–10PM,10:30AM–10PM,10:30AM–10PM,10:30AM–10PM,10:30AM–11PM,10:30AM–11PM,11:30AM–10PM,Houtzdale,16651
Villa Pizza,0x89c68e124d3e93d1:0x11528007cbff27a4,40.1416234,-75.54723059999999,4.5,73,Closed,10:30AM–9PM,10:30AM–9PM,10:30AM–9PM,10:30AM–10PM,10:30AM–10PM,00:00–21:00,Phoenixville,19460
Little Anthony's,0x89c6e907d9117eed:0xad2fdda5afa1ca07,39.9178042,-75.3898014,4.6,257,Closed,11:00–22:00,11:00–22:00,11:00–22:00,11:00–23:00,11:00–23:00,00:00–21:00,Media,19063
Pudgie's Pizza,0x89ce2c1fc5b2e8a3:0x337b08cd0c95f095,41.746893299999996,-77.2855333,3.7,88,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–22:00,11:00–22:00,11:00–21:00,Wellsboro,16901
Good Times Pizzeria,0x89c43f0ff76c152b:0x4c9f66f4fa7b0841,40.6395354,-75.3987951,4.3,133,10:00–21:00,10AM–9:30PM,10AM–9:30PM,10AM–9:30PM,10:00–22:00,11:00–22:00,Closed,Bethlehem,18018
Original Italian Pizza (OIP),0x89cf28cb5bf503eb:0xb5f3268c54f2049c,40.6916103,-77.103596,4.5,136,Closed,11:00–21:00,11:00–21:00,11:00–21:00,11:00–22:00,11:00–22:00,11:00–21:00,Richfield,17086
Italian Cucina,0x89c3ff4f560de659:0x656387bbc328db5f,40.3611917,-74.9507113,4.7,128,Closed,Closed,Closed,17:00–21:00,17:00–22:00,17:00–22:00,17:00–21:00,New Hope,18938
Saloon Restaurant,0x89c6c6207809aeb1:0x1831b74d38060235,39.9398657,-75.15456089999999,4.7,368,5–9:15PM,5–9:15PM,5–9:15PM,5–9:15PM,5–9:15PM,5–9:15PM,Closed,Philadelphia,19147
Little It Deli,0x88333fb397901ac9:0xfd17c890b4c2b13,41.1770084,-79.71052449999999,4.6,165,11:00–20:00,11:00–20:00,11:00–20:00,11:00–20:00,11:00–20:00,11:00–20:00,Closed,Emlenton,16373
Roma Pizza,0x89c41601d71c337b:0xe852cc7a9c5c60ea,40.579359,-75.34101799999999,4.4,218,10:30AM–10PM,10:30AM–10PM,10:30AM–10PM,10:30AM–10PM,10:30AM–11PM,10:30AM–11PM,11:00–22:00,Hellertown,18055
Ella's Ristorante & Pizzeria,0x89c417d763debc63:0x60d64f3197f56ff0,40.5787652,-75.34053519999999,4.1,66,Closed,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,00:00–21:00,Hellertown,18055
Rocco's Pizzeria & Italian,0x89c43e01d76a04f1:0x6bfb776e2f8f1ad0,40.5853706,-75.3416257,4.2,196,10:30AM–9PM,10:30AM–9PM,10:30AM–9PM,10:30AM–9PM,10:30AM–9PM,10:30AM–9PM,10:30AM–9PM,Hellertown,18055
Grico's,0x89c518d1091c60f5:0x4e3765f698dfae96,41.322639699999996,-75.8147631,4.7,277,4:30–9PM,4:30–9PM,4:30–9PM,4:30–9PM,4:30–9PM,4:30–9PM,Closed,Exeter,18643
Marianacci's Restaurant,0x89c5191cc9af0e3b:0xd9ea16bf772d5e7e,41.315076,-75.841347,4.3,283,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,Closed,West Wyoming,18644
Augustine's Club 17,0x89c4d8d3239f63f1:0x76e1778b38618ac2,41.3751945,-75.72530979999999,4.1,98,Closed,Closed,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,Closed,Old Forge,18518
Little E's Pizzeria,0x8834d06891be8c6f:0x2dc52df090c9f63,40.292820999999996,-79.541215,4.6,338,Closed,16:00–20:00,16:00–20:00,16:00–20:00,13:00–21:00,13:00–21:00,Closed,Greensburg,15601
Vinnie's Pizza,0x89cfe029d9ca7573:0x5d15143796a67e91,41.7859955,-76.7879748,4.6,238,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–22:00,11:00–22:00,Closed,Troy,16947
Crystal Pines Restaurant,0x89db2d5adf3cdb15:0xd895a82eb36aea28,41.6499273,-75.54453079999999,4.7,37,17:00–21:00,17:00–21:00,17:00–21:00,17:00–21:00,17:00–21:00,17:00–21:00,Closed,Clifford,18421
Fiore Fine Foods,0x89c6c9783b8feecf:0xfe53d110c87b7b65,39.9383361,-75.14434539999999,4.7,148,Closed,Closed,Closed,5–8:30PM,5–8:30PM,10:00–13:00,10:00–13:00,Philadelphia,19147
Mom Chaffe's Cellarette,0x89c6712ae619ce73:0xb6d2ba04f8857c0e,40.3375121,-75.94819559999999,4.7,278,17:00–21:00,17:00–21:00,17:00–21:00,17:00–21:00,17:00–22:00,17:00–22:00,Closed,Reading,19611
Southside Pizza,0x89c6c60399c75575:0x6af24aefd0761fc2,39.9253657,-75.1591076,3.8,156,11AM–11:45PM,11AM–11:45PM,11AM–11:45PM,11AM–11:45PM,11AM–12:45AM,11AM–12:45AM,12–10:45PM,Philadelphia,19148
Goody's Pizza,0x89c6b6802043f02b:0xd28471dff3bf95ef,40.0275204,-75.06117309999999,3.3,193,Closed,11AM–10:30PM,11AM–10:30PM,11AM–10:30PM,11AM–11:30PM,11AM–11:30PM,12–10:30PM,Philadelphia,19135
Prince Pizza,0x89c6b7bbad0a4d89:0x15af3130542ebbdf,40.021484,-75.122236,4.0,412,11:00–00:00,11:00–00:00,11:00–00:00,11:00–00:00,11:00–01:00,11:00–01:00,12:00–00:00,Philadelphia,19120
Treasa's Pizza & Subs,0x89c880247ec15367:0x532eee626517a9c1,39.8642501,-76.46468349999999,4.8,148,Closed,11:00–20:00,11:00–20:00,11:00–20:00,11:00–21:00,11:00–21:00,00:00–20:00,Brogue,17309
Allegria Italian Restaurant,0x89c6f4ce0de27cb1:0xcbc43b9ae6bd2931,40.0568078,-75.65471149999999,4.4,78,Closed,16:00–21:00,16:00–21:00,16:00–21:00,16:00–21:00,16:00–21:00,Closed,Exton,19341
Tani's Pizza,0x883362c67b527f09:0xa757015d9ddb11d6,40.862597,-79.905681,4.6,338,11AM–7:30PM,Closed,11AM–7:30PM,11AM–7:30PM,11AM–8:30PM,11AM–8:30PM,11AM–7:30PM,Butler,16001
The Big A Grillehouse,0x89c48487124d1ce9:0xd57d93d969ea17b1,41.0627479,-75.0692825,4.0,638,11:30AM–9PM,11:30AM–9PM,11:30AM–9PM,11:30AM–9PM,11:30AM–10PM,11:30AM–10PM,11:30AM–9PM,East Stroudsburg,18302
Demarco's Italian Restaurant,0x89c432cde60a617f:0x8ef50439af0002f0,40.578268,-75.708871,4.5,324,10:30AM–9PM,10:30AM–9PM,10:30AM–9PM,10:30AM–9PM,10:30AM–10PM,10:30AM–10PM,11:00–21:00,Kutztown,19530
Kings Pizza,0x89c59cd17f623df1:0x2efa885d50a08bd0,41.0542805,-76.2340188,4.3,248,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–23:00,10:00–23:00,11:00–21:00,Berwick,18603
Original Italian Pizza,0x89cf0beb75c9ef87:0xd9b28c320edc6059,41.1063026,-76.8976828,4.2,238,10:00–21:00,10:00–21:00,10:00–21:00,10:00–21:00,10:00–21:00,11:00–21:00,10:00–21:00,Allenwood,17810
Amici Italian Grille,0x89c59d0f06632f6b:0xfb4e09d6567c7477,41.0632525,-76.2333159,4.5,148,Closed,Closed,4:30–8PM,4:30–8PM,4:30–8PM,4:30–8PM,Closed,Berwick,18603
Bella's Subs and Pizza,0x89c6714c187e8b81:0x6049bb589bea214f,40.338677499999996,-75.9766667,4.4,198,10:00–21:00,10:00–21:00,10:00–21:00,10:00–21:00,10:00–22:00,10:00–21:00,10:00–21:00,Wyomissing,19610
Bruno's Italian Restaurant,0x89cb5adbdae2ec77:0x89196512274f6226,40.622811399999996,-79.16107029999999,4.2,288,Closed,00:00–19:00,00:00–19:00,00:00–19:00,00:00–20:00,00:00–20:00,00:00–19:00,Indiana,15701
Mannino's,0x89c15768119744db:0x97f7309017175f43,40.211998,-74.7938811,4.6,334,10:00–00:00,10:00–00:00,10:00–00:00,10:00–00:00,10:00–00:00,10:00–00:00,00:00–21:00,Morrisville,19067
A & S Pizza & Pasta,0x89c151cef4c4e989:0x97e8b0a7483c0efa,40.1292762,-74.8350067,4.6,318,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11AM–9:30PM,11AM–9:30PM,Closed,Levittown,19057
Roberto's Pizza,0x89c8c75780115741:0x1427f85f85ad6dc2,40.294416,-76.82879199999999,4.3,218,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,Harrisburg,17109
Gabriella Italian Restaurant,0x89c8c75717165781:0x9e661ad335799dff,40.2926521,-76.83019259999999,4.6,848,11:00–22:00,11:00–22:00,11:00–22:00,11:00–22:00,11:00–22:00,11:00–22:00,11:00–22:00,Harrisburg,17109
Nonna Rosa Pizzeria - Bridgeport,0x89c6bdff094904a5:0xfd72fa361d94220d,40.1053739,-75.3393715,4.4,118,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–23:00,10:00–23:00,11:00–21:00,Bridgeport,19405
Carfagno’s Main Street Pizzeria & Grille,0x89c6971b914cd609:0x5c47ef83b6d78e81,40.156818,-75.403893,4.6,177,10:30AM–8PM,10:30AM–8:30PM,10:30AM–8:30PM,10:30AM–8:30PM,10:30AM–9PM,10:30AM–8:30PM,10:30AM–8:30PM,Norristown,19403
Pizzetta's,0x89c42fc59e8f8c1b:0xf002aec836e621,40.5191252,-75.5613809,4.1,208,11:00–22:00,11:00–22:00,11:00–22:00,11:00–22:00,11:00–22:00,11:00–22:00,Closed,Macungie,18062
Mineo's Pizza,0x8834f65fbfc65b6f:0xedae3fe9b4081748,40.427499999999995,-80.055601,3.9,148,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–00:00,10:00–00:00,10:00–22:00,Pittsburgh,15205
Berrelli’s Italian Chophouse,0x89c4f570184e8be5:0x18eb6982a79ae0fc,41.0515926,-75.3497768,3.7,238,Closed,Closed,17:00–22:00,17:00–22:00,17:00–22:00,17:00–22:00,17:00–22:00,Tannersville,18372
Italian Village Pizza,0x88348b55c36e5871:0x55a63d6330e07961,40.530108,-80.010402,4.0,138,11AM–9:30PM,11AM–9:30PM,11AM–9:30PM,11AM–9:30PM,11AM–9:30PM,11AM–9:30PM,11AM–9:30PM,Pittsburgh,15237
New Venice Pizza,0x89c6b0cb23c9a55b:0xc5d01b224a4c36b,40.0760613,-75.1278086,4.4,138,11AM–8:30PM,11AM–8:30PM,11AM–8:30PM,11AM–8:30PM,11AM–8:30PM,11AM–8:30PM,00:00–20:00,Elkins Park,19027
Joe's Pizza (east end) Loyalsock,0x89cfa5d41d2d9b73:0x3a36433bb98087bc,41.2616667,-76.9694444,4.6,473,11:00–22:00,11:00–21:00,11:00–22:00,11:00–22:00,11:00–23:00,11:00–23:00,00:00–22:00,Williamsport,17701
Bravo's Pizza,0x89c41e85a86a94b7:0xf5441b7615a88183,40.3695932,-75.295883,4.1,198,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,11:00–22:00,Perkasie,18944
UNO Pizzeria & Grill,0x89c6a8ed2df7b6b9:0x5ab6a070957c0336,40.2698987,-75.1286179,4.3,533,11:00–22:00,11:00–22:00,11:00–22:00,11:00–22:00,11:00–23:00,11:00–23:00,11:00–22:00,Warrington,18976
Pepperoncini Restaurant & Bar,0x89c6c10d632d4273:0xb17a0ed43ad8a0de,39.972491399999996,-75.31956939999999,4.6,48,Closed,Closed,4:30AM–11PM,4:30–11PM,4:30–11PM,4:30–11PM,4:30–10PM,Havertown,19083
